_id,Year of death,Subgroup,Final_Age (group),Gender,Count,is_suppressed
104,2024,Other Diseases,60+,Male,4,false
105,2022,Unintentional Injury,40-59,Female,2,false
106,2024,Acute Drug Toxicity,Unknown,Male,2,false
107,2022,Cardiovascular Disease,20-39,Male,1,false
108,2023,Pending,40-59,Male,3,false
109,2023,Unknown,40-59,Male,10,false
110,2023,Acute Drug Toxicity,40-59,Male,63,false
111,2022,Acute Drug Toxicity,Unknown,Male,1,false
112,2023,Suicide,20-39,Male,4,false
113,2023,Other Diseases,40-59,Male,8,false
114,2023,Pending,20-39,Male,2,false
115,2024,Other Diseases,20-39,Male,2,false
116,2024,Cardiovascular Disease,40-59,Male,5,false
117,2023,Cardiovascular Disease,40-59,Male,6,false
118,2024,Pending,20-39,Male,6,false
119,2024,Homicide,20-39,Male,1,false
120,2024,Acute Drug Toxicity,60+,Male,9,false
121,2022,Other Diseases,20-39,Female,3,false
122,2023,Unknown,40-59,Female,3,false
123,2022,Unknown,40-59,Female,2,false
124,2022,Unknown,40-59,Male,7,false
125,2024,Other Diseases,60+,Female,2,false
